"Name","Avg MVP","MVP/m","Total MVP","Accuracy","Hit Diff","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate"
"Stocker","14.87","1.37","148.73","74.44","0.72","60% (6/10)","14.49","83.52","50% (1/2)","16.18","80.26","0% (0/1)","9.82","73.75","33% (1/3)","14.65","52.81","100% (2/2)","22.42","85.09","100% (2/2)"
"Applesauce","14.76","1.37","620.04","85.37","0.85","52% (22/42)","18.84","76.48","50% (2/4)","13.24","87.26","33% (2/6)","13.62","75.93","38% (3/8)","13.57","84.35","60% (3/5)","15.18","90.89","63% (12/19)"
"Rockwood","14.73","1.24","3225.28","80.98","1.14","48% (106/219)","15.35","82.68","37% (13/35)","13.12","88.54","56% (14/25)","15.17","76.41","49% (45/91)","14.48","78.31","55% (23/42)","14.29","91.7","42% (11/26)"
"Fear Turkey","14.63","0","73.14","84.36","0.69","80% (4/5)","14.4","74.23","100% (1/1)","13.7","87.23","100% (1/1)","7.6","82.35","0% (0/1)","17.52","83.65","100% (1/1)","19.92","94.32","100% (1/1)"
"Friendly Fire","14.59","0","72.94","74.4","0.92","40% (2/5)","13.8","73.07","0% (0/2)","0","0","NaN% (0/0)","15.5","67.04","50% (1/2)","14.34","91.76","100% (1/1)","0","0","NaN% (0/0)"
"Jet","14.5","0","14.5","65.38","0.71","100% (1/1)","14.5","65.38","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Artemis","14.44","1.4","57.77","61.39","1.28","50% (2/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","14.44","61.39","50% (2/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"DyscoMonkee","14.42","1.2","908.38","76.19","0.94","40% (25/63)","15.86","75.24","33% (5/15)","12.39","80.5","27% (3/11)","15.34","65.2","65% (13/20)","13.58","85.07","20% (2/10)","13.08","90.16","29% (2/7)"
"A Kodama","14.36","1.23","258.56","89.04","0.99","72% (13/18)","15.03","86.94","67% (2/3)","10.67","88.68","83% (5/6)","16.15","84.11","50% (2/4)","14.81","95.33","50% (1/2)","18.41","94.26","100% (3/3)"
"Mischief","14.36","1.13","373.26","78.75","0.93","27% (7/26)","17.38","70.91","0% (0/4)","12.22","82.38","30% (3/10)","15.6","70.4","17% (1/6)","12.23","83.53","25% (1/4)","19.52","91.72","100% (2/2)"
"Octocat","14.35","1.32","114.83","81.84","0.66","50% (4/8)","16","79.45","100% (1/1)","14.04","79.95","25% (1/4)","15.9","65.26","100% (1/1)","0","0","NaN% (0/0)","13.38","95.08","50% (1/2)"
"Nimitz","14.29","1.24","300.17","74.69","0.98","48% (10/21)","14.75","79.85","75% (3/4)","14.21","80.12","50% (1/2)","13.37","66.1","30% (3/10)","13","76.01","50% (1/2)","17.68","91.97","67% (2/3)"
"Cupcake","14.13","1.37","98.88","77.66","0.82","71% (5/7)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","15.39","71.98","100% (4/4)","6.95","79.1","0% (0/2)","23.44","97.5","100% (1/1)"
"Titan","14.12","1.22","56.49","86.76","1.13","100% (4/4)","0","0","NaN% (0/0)","17.86","88.53","100% (2/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","10.39","85","100% (2/2)"
"Samurai","14.12","1.53","28.23","68.04","1.08","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","14.12","68.04","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Athena","14.08","1.48","98.59","79.87","0.87","71% (5/7)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","14.45","77.76","80% (4/5)","18.42","81.37","100% (1/1)","7.9","88.89","0% (0/1)"
"Jacrovio","14.03","1.11","2286.1","73.91","0.98","46% (75/163)","17.64","73.86","47% (17/36)","12.19","80.05","46% (11/24)","12.73","62.26","41% (21/51)","13.13","79.13","50% (18/36)","14.76","90.19","50% (8/16)"
"Asra","13.98","1.35","83.9","83.55","0.61","83% (5/6)","13.53","82.43","100% (1/1)","0","0","NaN% (0/0)","11.6","75.8","67% (2/3)","12.44","93.48","100% (1/1)","23.14","98","100% (1/1)"
"Tank","13.89","3.16","138.87","84.69","0.85","50% (5/10)","13.73","81.84","33% (1/3)","5.7","76.92","0% (0/1)","16.45","82.86","75% (3/4)","18.76","98.85","100% (1/1)","7.4","94.12","0% (0/1)"
"SgtTucker","13.72","1.15","576.19","84.09","1.02","45% (19/42)","14.97","82.55","0% (0/3)","12.47","88.49","50% (3/6)","13.9","74.48","50% (5/10)","12.32","80.37","57% (4/7)","14.45","90.35","44% (7/16)"
"Fonzoreli","13.54","0","270.88","69.78","1.04","55% (11/20)","12.4","71.5","50% (2/4)","12.77","84.82","75% (3/4)","16.28","61.82","50% (4/8)","9.81","66.54","67% (2/3)","10.6","76.12","0% (0/1)"
"Bdawg.kt","13.4","0","1299.56","81.1","0.81","54% (52/97)","15.89","75.16","48% (10/21)","9.69","84.61","52% (11/21)","15.11","76.12","67% (22/33)","12.14","90.16","50% (7/14)","11.72","92.12","25% (2/8)"
